Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
barera ; alat tenun utk merapatkan benang: alat utk merajut jala, lambit, dsb;bengeh ; bared ; bareubeu
barerang; ikut terkena caci maki at dimarahi padahal tidak bersalah;kabarerang ;  ; 
kabarerang ; ikut terkena caci maki at dimarahi padahal tidak bersalah;barerang ;  ; 
bareto ; dulu, dahulu, masa yg telah lampau , masa yg telah silam;tiheula ; baheula ; heubeul
baraya ; saudara;dulur ; saderek ; 
barempug ; berunding, bermusyawarah;badami ; dami ; musawarah
barentis ; beruntus, bintik-bintik pd kulit; ;  ; 
barentus ; barentis; ;  ; 
barep pangrarep ; sulung, yg tercantik dan terpandai menari (ronggeng);cikal ;  ; 
bareubeu ; warna buah-buahan yg hampir matang, mis jambu, rambutan, dsb, 2 muka yg merah karena terserang influensa;bengeh ; bared ; barera
bareuh ; bengkak;bentol ;  ; 
bareuh bengkak ;" babareuhan "" busung lapar"; ;  ; 
bareuheudeun ; serba salah, salah tingkah karena pikirannya tibatiba terganggu; ;  ; 
bargas ; perahu bermotor; ;  ; 
bari ; sambil;bareng ; samentara ; 
baribin ; bl gaduh, berisik , ribut;cekcok ; gandeng ; gareuwah
barieukeun ; bingung (karena terlalu banyak pilihan yg hampir semuanya cocok di hati); ;  ; 
barik; rusak dan berantakan, mis karena gempa, angin ribut at karena terkena bom (kota);burak-barik ;  ; 
burak-barik ; rusak dan berantakan, mis karena gempa, angin ribut at karena terkena bom (kota);barik ;  ; 
baring. baring supagi ; nanti , esok lusa, masa yg akan datang;engke ; mangke ; 
baringsang ; gerah, tidak enak perasaan karena udara panas;hareudang ; kareunang ; 
barinyan ; rasa tak sedap karena dua rasa yg bertentangan menjadi satu, mis asin dan manis; ;  ; 
barlen ; logam putih sb nekel, lagu gamelan,; ;  ; 
barobah kaayaan ; menjadi;juntrung ; jadi ; janten
barogod ; belenggu,;belok ; canggalak ; ngaborogod
barong ; sewaktu, bersamaan, bersarna-sarna;waktos ; wanci ; wayah
barubah; menyusahkan;ngabarubahkeun ;  ; 
ngabarubahkeun ; menyusahkan;barubah ;  ; 
barubutan ; rongsokan jala; ;  ; 
