Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
barucut ; kulit muka atau kulit buah-buahan yg tidak rata dan benjol-benjol karena penyakit; ;  ; 
baruk ; utk menunjukkan rasa heran, masa iya; ;  ; 
barung ; menendang bola bersama -sama dng lawan; ;  ; 
barungbung ; selongsong pd kitiran at baling-baling; ;  ; 
baruntak ; acak-acakan, berantakan;bacacar ; bungbang ; busak-basik
barusuh ; sariawan; ;  ; 
baruten ; pusing, rungsing (orang yg baru bangun tidur karena terganggu);jangar ; lieur ; musing
basa ; bahasa;nalika ;  ; 
basa cohag ; bahasa yg dipergunakan utk binatang at ketika orang yg berbicara itu sedang sangat marah; ;  ; 
basa hirup ; bahasa sehari-hari; ;  ; 
basa lancara ; bahasa bebas (bahasa percakapan sehari-hari); ;  ; 
basa lemes ; bahasa halus;alus ;  ; 
basa lisan ; bahasa iisan; ;  ; 
basa loma ; bahasa wajar, bahasa kasar; ;  ; 
basa paeh ; bahasa mati, bahasa yg sudah tidak dipakai lagi; ;  ; 
basa ugeran ; bahasa terikat. puisi; ;  ; 
basero ; usaha bersama, perseroan; ;  ; 
basajan ; bersahaja, sederhana;saderhana ;  ; 
basana ; cerita nya, katanya;carek ; ongkoh ; ceuk
basangkal. ; bandel, membangkang thd orang tua;badeur ; bedang ; bontongor
baseuh ; basah, berair;cipruk ; bayabah. ngabayabah ; cai
basi ; piring besar, tempat nasi a t sayur dr poslon; ;  ; 
basilat ; licik, curang, tidak jujur, lampah basilat . kelakuan yg tidak senonoh, merugikan orang lain mis korupsi, menipu, dsb;akal bulus ; gerejud ; ngagerejud
basisir ; pesisir, pantai;pameres ;  ; 
baskara ; matahari;panonpoe ;  ; 
basuki ; selamat;wilujeng ; teu busik-busik acan at h ; 
batan at tibatan ; daripada;daripada ;  ; 
batang ; tambak, pematang. pemburu yg bersenjatakan tombak; ;  ; 
batara ; gelar para dewa, keturunan dewa; ;  ; 
batek ; tarik, mencabut at menghunus pedang, golok, bertumbuh lebih tinggi dan besar (anak kecil);betot ; metot ; bedog
bati ; laba, keuntungan yg diperoleh dr berdagang, anak, hanya;anak ; putra ; among
bating; oleh sebab;bakating ;  ; 
bakating ; oleh sebab;bating ;  ; 
batok bulu eusi madu ; orang jelek; ;  ; 
batok kohok piring semple ; barang at perabotan yg tidak berharga; ;  ; 
batok; tempurung; ;  ; 
; tempurung;batok ;  ; 
batokngisang ; sebuah alat dr tempurung gunanya utk menakut-nakuti lingsang; ;  ; 
batur ; dng kita;réncang ; sobat ; 
baturna ; temannya;babaturan ; balad ; deungeun
bau ; bau;ambeu ; angseu ; 
bau badot ; bau kambing jantan, lalay baâ­dot, codot; ;  ; 
baung ; n ikan sb lele; ;  ; 
baur ; campur, aduk;galey ;  ; 
bawa ; bawa;baan ; bantun ; ringkid
bawah; menjajah, memerintah, bawahan, negara, daerah orang yg diperintah: di bawah tangan, tanpa saksi resmi;ngabawah ; nagara ; handap
ngabawah ; menjajah, memerintah, bawahan, negara, daerah orang yg diperintah: di bawah tangan, tanpa saksi resmi;bawah ; nagara ; handap
bay ; ka utk tali-tali yg bergantung; ;  ; 
baya at bahya ; bahaya;beurat ;  ; 
bayabah. ngabayabah; berceceran (benda cair, air, darah , dsb);cai ; getih ; mokla
bayah ; paru-paru; ;  ; 
bayak; banyak berserakan di atas tanah mis bunga at buah-buahan;ngabayak ;  ; 
ngabayak ; banyak berserakan di atas tanah mis bunga at buah-buahan;bayak ;  ; 
bayangkang ; banyak uratnya spt mangga wangi, mangga bacang,dsb;bengeh ; bared ; barera
bayatak ; berserakan , bertebaran di mana-mana dng tidak beraturan;amacak ; neba ; 
bayawak ; biawak;biawak ;  ; 
bayem ; bayam;bayam ;  ; 
bayeungyang ; gerak, perasaan tidak enak karena ada sesuatu yg mengkhawatirkan, merisaukan;usik ; gibeg ; ngagibeg
bayong ; anak ikan gabus;anak gabus ;  ; 
bayongbong ; kerangka likar, tumbuhan sj gelagah, 3 kelabang,lipan; ;  ; 
bayu ; angin; ;  ; 
bayuhyuh ; gemuk tetapi pantas; ;  ; 
beas kapala ; beras yg terbaik; ;  ; 
bebed ; ikatan yg besar; ;  ; 
bebegalan ; permainan anak-anak, alangan, rintangan;pambeng ; pambengan ; 
bebegig ; orangâ·orangan, utk menakutâ·nakuti burung at kelong; ;  ; 
bebek ; remuk, ngabebek , menumbuk sampai halus, rujak bebek ,rujak yg ditumbuk; ;  ; 
bebel ; kemaluan lakiâ·laki; ;  ; 
bebelakeun ; penyakit pd telapak kaki; ;  ; 
bebeleâ­tokan ; kantung udara pd ikan ,  bedil-bedilan dr cabang bambu; ;  ; 
bebeluk ; hama ulat yg suka melubangi batang padi; ;  ; 
bebence; burung puyuh jantan; ;  ; 
bebeng ; tidak ada pinggangnya, dr ujung ke ujung sama besar, kabebeng , tidak bisa buang air besar; ;  ; 
bebengkang; telentang bukan di tempat tidur (yg kecapaian, yg meninggal dsb);ngabebengkang ;  ; 
ngabebengkang ; telentang bukan di tempat tidur (yg kecapaian, yg meninggal dsb);bebengkang ;  ; 
bebengkung ; kain panjang (biasanya warna merah) pengikat perut orang yg baru melahirkan), setagen;beubeur ;  ; 
bebengok ; bkp muka (orang); ;  ; 
bebenjon ; main-main, tidak sungguh-sungguh, lain bebenjon sungguh-sungguh tidak main-main; ;  ; 
beber ; bagian sungai yg tidak mengalir, karena bermuara ke tempat yg agak tinggi, 2erbankain pembalut: dibeber, diperban; ;  ; 
beber layar tarik jangkar ; berlayar;bebeur ;  ; 
beberah; menghibur utk menghilangkan rasa susah at sedih;ngabeberah ;  ; 
ngabeberah ; menghibur utk menghilangkan rasa susah at sedih;beberah ;  ; 
beberenjen ; senang berdan dan bersolek (orang yg sudah tua); ;  ; 
beberut ;" kodok yg senantiasa berbunyi setelah hujan berhenti pd malam hari, dan bunyinya ""berutâ·berut"""; ;  ; 
bebes ; mencari ke sana ke mari, melewati;ngaliwatan ; ngalangkung ; ngulampreng
bebesaran ; murbai; ;  ; 
bebetek ; dekorasi panggung at pekarangan yg sedang mengadakan pesta; ;  ; 
becek ; cacad sedikit; ;  ; 
becir; lari (biasanya karena takut);ngabecir ;  ; 
ngabecir ; lari (biasanya karena takut);becir ;  ; 
becis; bacir; ;  ; 
becus ; bkp dapat:. ah. moal becuseun si eta mah lah! , ah, dia tidak akan dapatt!; ;  ; 
bedah ; bobol, putus, operasi: dokter ahli, memotong bahan pakaian , ingkar, merubah kebiasaan;bodol ;  ; 
bedang ; bandel, sombong, keras kepala;badeur ; basangkal. ; bontongor
bedas ; 1 besar tenaga, kuat, 2 keras (suara);belejag ; cangker ; kiat
bedegel; dongkol, sangat kecewa terasa mendadak;ngabedegel ;  ; 
ngabedegel ; dongkol, sangat kecewa terasa mendadak;bedegel ;  ; 
bedegong ; bedang; ;  ; 
bedil ; senjata laras panjang; ;  ; 
bedo ; batal, tidak jadi;burung ;  ; 
bedog ; golok;batek ; dokdak ; 
bedong; (mengikat bayi dng kain sehingga tidak dapat bergerak, agar hangat dan bertubuh tegak, dan lengan/kakinya tidak bengkok;ngabedong ;  ; 
ngabedong ; (mengikat bayi dng kain sehingga tidak dapat bergerak, agar hangat dan bertubuh tegak, dan lengan/kakinya tidak bengkok;bedong ;  ; 
bedug ; beduk, tabuh; ;  ; 
bedul ; babi hutan;bagong ; begu ; 
begeng ; sangat kurus; ;  ; 
beger ; mulai timbul rasa birahi, masa pancaroba, masa puber; ;  ; 
begal ; rampok; ;  ; 
begalan pati ; berkelahi memperebutkan nyawa; ;  ; 
begang ; kurus;kuru ; peot ; 
begbreg; bertumpuk-tumpuk (kayu bakar);ngabegbreg ;  ; 
ngabegbreg ; bertumpuk-tumpuk (kayu bakar);begbreg ;  ; 
begog ; kera tua; ;  ; 
begu ; babi hutan , bagong;bagong ; bedul ; 
begug ; dapat, bisa;berek ; beunang ; kenging
begung ; aga bungkuk dan kurus; ;  ; 
beha ; bra;kutang ;  ; 
beienu ; mengembung besar karena busung japar at hamil tua; ;  ; 
beiesat; lepas dng cepatan (anak panah yg lepas dari busurnya);melesat ;  ; 
melesat ; lepas dng cepatan (anak panah yg lepas dari busurnya);beiesat ;  ; 
beja ; kabar;iber ; tanggara ; 
bekeh ; terbuka sedikit kulitnya (mis salak, pisang rebus, dsb);bebeur ; bayabah. ngabayabah ; bekel
beken ; terkenal , termasyhur;kakoncara ; dipikawanoh ; 
bekas; membunyikan senjata api, melepaskan tembakan: pelengkung bekas nyalahan, pb kelakuan yg pd mulanya baik seterusnya menjadi jelek;ngabekaskeun ;  ; 
ngabekaskeun ; membunyikan senjata api, melepaskan tembakan: pelengkung bekas nyalahan, pb kelakuan yg pd mulanya baik seterusnya menjadi jelek;bekas ;  ; 
beke ; pendek;pondok ;  ; 
bekel ; bekal (uang, makanan , dsb);bongko ; dahar ; ngadahar
bekem; menutup mulut orang lain agar tidak dapat berbicara, melarang mengeluarkan pendapat secara bebas;ngabekem ;  ; 
ngabekem ; menutup mulut orang lain agar tidak dapat berbicara, melarang mengeluarkan pendapat secara bebas;bekem ;  ; 
bekik; berjalan sambil menunduk pd jalan yg mendaki;ngabekik ;  ; 
ngabekik ; berjalan sambil menunduk pd jalan yg mendaki;bekik ;  ; 
bekok; mengentuti orang lain;ngabekok ;  ; 
ngabekok ; mengentuti orang lain;bekok ;  ; 
bekong ; mug besar; ;  ; 
bekuk; mengekang kuda, membekuk , menangkap orang;ngabekuk ;  ; 
ngabekuk ; mengekang kuda, membekuk , menangkap orang;bekuk ;  ; 
belek; membedah, melakukan operasi;ngabelek ; dobol ; 
ngabelek ; membedah, melakukan operasi;belek ; dobol ; 
belebes ; kutk bebes (terperosok); ;  ; 
belecen ; utk telanjang bulat dng tiba-tiba; ;  ; 
belecet ; utk melarikan diri; ;  ; 
beledag ; utk suara senjata api, suara yg sangat keras, nyaring; ;  ; 
beledig; mengejar terus;ngabeledig ;  ; 
ngabeledig ; mengejar terus;beledig ;  ; 
beledug ; ka utk benda yg meledak keras; ;  ; 
beleger ; masih utuh; ;  ; 
belegug ; tidak tahu sopan santun, tidak tahu adat, dungu, bodoh, tolol;cologog ; culangung ; belengong
belejag ; kuat, masih besar tenaganya;bedas ; cangker ; kiat
belejog ; tipu;pacikeuh ; dipacikeuh ; 
belejog; tertipu (membeli terlalu mahal);kabelejog ;  ; 
kabelejog ; tertipu (membeli terlalu mahal);belejog ;  ; 
belekek ; kulit mentimun yg sudah tua (bijinya sudah dikeluarkan utk bibit), burung sawah at rawa; ;  ; 
belekesek; dipakai terus-menerus (pakaian) dipekerjakan hampir tak ada istirahatnya (orang);dibelekesekkeu ;  ; 
dibelekesekkeu ; dipakai terus-menerus (pakaian) dipekerjakan hampir tak ada istirahatnya (orang);belekesek ;  ; 
belekok ; n sj burung rawa , sb burung kuntul; ;  ; 
belekuk ; ka utk kaki masuk lumpur: ana - teh nu leumpang nyorang leutak yg berjalan itu tiba-tiba kakinya masuk ke lumpur; ;  ; 
belendok ; karat tembakau yg melekat pd pipa, yg berasal dr asap tembakau at madat dsb; ;  ; 
belengeh ; sedikit terbuka, terbuka sedikit kulitnya hingga tampa isinya (salak, delima, dsb);bebeur ; bayabah. ngabayabah ; bekeh
belengong ; dungu, tidak tahu kesopanan;belegug ; ceuleupeung ; 
belengur; kekurangan rezeki at barang karena terlalu banyak yg diberikan kpd orang lain;cukup belengur ;  ; 
cukup belengur ; kekurangan rezeki at barang karena terlalu banyak yg diberikan kpd orang lain;belengur ;  ; 
belenong ; bentuk kubah,  barang yg berbentuk kubah, belenong lampu; ;  ; 
belentuk ; katak besar yg dapat mengembungkan perutnya; ;  ; 
belenyeh ; ka utk tersenyum simpul at mesem, belenyeh manehna seuri dia tersenyum; ;  ; 
belesek ; amblas; ;  ; 
belesok; belekuk. (hanya tak begitu dalam);ngabelesok ;  ; 
ngabelesok ; belekuk. (hanya tak begitu dalam);belesok ;  ; 
belesur ; belesat; ;  ; 
belet ; bodoh, susah belajar, kabelet ingin buang air besar, ditahan;belegug ; biko ; bodo
beletek ;" kpd benda tipis yg pecah at retak, mis gelas yg kena air panas, ngabeletek, meletek retak seraya mengeluarkan bunyi ""peletek"""; ;  ; 
beletok ; bunyi benda yg patah, mis tulang, kayu, bambu, dsb;bared ; kai ; ceboy
beletuk ; ka utk suara yg meletus (bitu) peletuk balon teh bitu meletuslah balon itu; ;  ; 
belewek ; ka utk memasukkan sesuatu ke dalam mulut; ;  ; 
belewer ; ka utk melempar (beledog), - bam teh dibaledogkeun, batu itu dilemparkan; ;  ; 
belewuk ; kotor oleh debu at karena bencut jarang mandi; ;  ; 
belik; mudah tersinggung;belikan ; bengkeng ; 
belikan ; mudah tersinggung;belik ; bengkeng ; 
beling ; beling, pecahan kaca. botol, gelas, dsb;bengeh ; bared ; barera
belo ; anak kuda , ikan laut; ;  ; 
belok ; becek, berlumpur banyak, belenggu;amlongan ; cabrek ; cebrek
beloy ; loyo, lemah(orang, 2 lembek, tidak keras (gula merah); ;  ; 
beluk ; cara menyanyi yang lebih sering mengutamakan keras dan panjangnya suara; ;  ; 
bencah ; belah, pecah: bebencah, ngabencah, lacur, mata keranjang;beulah ;  ; 
bencar ; pecah berantakan; ;  ; 
benclang-benclung ; berbicara ngawur spt anak kecil at spt orang gila; ;  ; 
bencong ; waria; ;  ; 
bencoy ; buah mentega, isinya merah; ;  ; 
bencut ; benjol, bencut;benjut ;  ; 
bende ; gong kecil gunanya untuk memberi tanda at isyarat; ;  ; 
bendeng ; bermusuhan tidak saling bertanya; ;  ; 
bendeleh; tampak kulit perutnya karena dandanannya tidak rapih;ngabendeleh ;  ; 
ngabendeleh ; tampak kulit perutnya karena dandanannya tidak rapih;bendeleh ;  ; 
bendil ; bentol-bentol, bintik-bintik pada badan; ;  ; 
bendu ; bl marah, nyanggakeun bebendu, mohon maaf, mohon ampun, kabendon, ketahuan salahnya;hapunten ;  ; 
bendul; spt agak bengkak, spt diisi dng benda yg bulatbulat;ngabendul ;  ; 
ngabendul ; spt agak bengkak, spt diisi dng benda yg bulatbulat;bendul ;  ; 
bener ; benar, betul, bebeneran, kebenaran, kabeneran, kebetulan, tidak disengaja, meneran, kena sasaran;estu,estuning ; eucreug ; leres
beng ; ka utk berangkat at pergi : - ka ditu, - ka dieu neangan pagawean. sudah pergi ke sana,pergi ke sini mencari pekerjaan (pergi ke mana-mana); ;  ; 
bengang ; penyakit kotor, sj penyakit raja singa (sipilis) dsb;bungkul ;  ; 
bengep ; muka sembam karena ditinju at disengat tawon dsb; ;  ; 
benggul. ngabenggul ; bendul; ;  ; 
bengkah ; retak, putus persaudaraan; ;  ; 
bengkeng ; mudah terserang penyakit, mudah tersinggung;belik ; belikan ; 
bengker ; pengikat sesuatu yg disambung (besi, kayu. dsb); ;  ; 
bengkok ; lengkung; ;  ; 
bengkung ; bongkok; ;  ; 
benglcang; terlentang;ngabengkang ; nangkarak ; 
ngabengkang ; terlentang;benglcang ; nangkarak ; 
bengok; bkp muka, wajah;astra ; beungeut ; pameunteu
bengsal; kail yg jarang dpt ikan;useup bengsal ;  ; 
useup bengsal ; kail yg jarang dpt ikan;bengsal ;  ; 
benguk ; bengkung spt paruh burung betet; ;  ; 
benjut ; benjut, benjol;bencut ;  ; 
bentar ; sambar;kabentar ;  ; 
benten ; bl beda, tidak sama , pending ikat pinggang (terbuat dr em as at perak); ;  ; 
bentik ; bentik (agak melengkung, terbang dianggap bagus, mis jari tangan wanita); ;  ; 
benum ; dibenum diangkat menjadi pegawai negeri; ;  ; 
ber ; ka utk hiber (terbang); ;  ; 
bera ; dikeringkan atau dibiarkan tidak digarap (tanah, sawah);sacangkewok ;  ; 
bere ; beri;pasihan ; mere ; 
berebes ; rembes, keluar sedikit-sedikit (benda cair); ;  ; 
berebet ; ka utk lumpat (lari);berengbeng ;  ; 
beredeg; diburu-buru oleh waktu yg tinggal beberapa saat lagi, tergesa-gesa;kaberedeg ; budra-bidru ; 
kaberedeg ; diburu-buru oleh waktu yg tinggal beberapa saat lagi, tergesa-gesa;beredeg ; budra-bidru ; 
beredel ; berderet ke bawah; ;  ; 
bereg; bersama-sama menyerang lawan;ngabereg ;  ; 
ngabereg ; bersama-sama menyerang lawan;bereg ;  ; 
berego ; cadar; ;  ; 
berehan ; sopan; ;  ; 
berek ; dapat;kenging ; begug ; beunang
berelong ; belang-belang dengan banyak warna hitamnya; ;  ; 
berengbeng ; ka utk lumpat (lari);berebet ;  ; 
berengkes ; membawa bermacam-macam barang khususnya makanan dengan cara sembunyi-sembunyi; ;  ; 
berengseng ; matang terpaksa karena terlalu besar apinya; ;  ; 
berenuk ; tempat pakaian yang terbuat dari kain dan memakai ikatan sebagai penutupnya; ;  ; 
beresel ; ka utk barang lembek at kecil yg keluar secara di pijit; ;  ; 
beresih ; bersih; ;  ; 
beresin ; bersin;di dieu ; dieu ; mesin
beret ; asli, tulen, ejekan kpd orang jawa yg tak disenangi;bolongkotan ; murni ; 
berewit ; sering sakit, sering mendapat kesusahan, banyak permintaan yg sukar utk dapat dikabulkan; ;  ; 
bereyek ; ka utk berkumpul (berebutan) secara mendadak; ;  ; 
berik ; kejar;obrot ; udag ; ramo
berkat ; bingkisan; ;  ; 
berminat ; hoyong; ;  ; 
berod ; sb ikan belut, spt pipih; ;  ; 
berok; disimpan dalam air yg bersih (ikan-ikan kecil sebelum di masukkan ke dlm kolam), ditahan di penjara;diberok ;  ; 
diberok ; disimpan dalam air yg bersih (ikan-ikan kecil sebelum di masukkan ke dlm kolam), ditahan di penjara;berok ;  ; 
berseka ; mementingkan kebersihan dan kesehatan tubuh dan rumah tangga; ;  ; 
berungkak ; meluap, banjir;caah ; guntur ; 
besek; batuk disebabkan oleh air yg masuk ke tenggorokan;kabesekan ;  ; 
kabesekan ; batuk disebabkan oleh air yg masuk ke tenggorokan;besek ;  ; 
besem ; agak basah, mengandung air; ;  ; 
beser ; beser, sebentar sebentar kencing; ;  ; 
beset; dikuliti (binatang yg sudah di sembelih kulitnya), dibelah perutnya dng pisau (ikan);dibesot ;  ; 
dibesot ; dikuliti (binatang yg sudah di sembelih kulitnya), dibelah perutnya dng pisau (ikan);beset ;  ; 
besrat; randa bengsrat (janda tapi masih perawan);bengsrat ;  ; 
bengsrat ; randa bengsrat (janda tapi masih perawan);besrat ;  ; 
bet ; ka utk potong (patah); ;  ; 
betah ; kersan, betah, merasa senang tinggal di suatu tempat; ;  ; 
betah; dikagetkeun dgn jalan dibentak (yg sedang melakukan kejahtan ath sedang melamun);dibetahkeun ;  ; 
dibetahkeun ; dikagetkeun dgn jalan dibentak (yg sedang melakukan kejahtan ath sedang melamun);betah ;  ; 
bete ; belah sedikit at robek sedikit kulitnya sehingga terlihat isinya; ;  ; 
betek; pakaian butut yg sudah dipakai lap penyeka barang yg kotor; ;  ; 
betok ; n sj ikan rawa, dibetok, dibelah punggungnya; ;  ; 
betot ; tarik;metot ; batek ; bongrey
betrak; kena sinar matahari pada waktu panas terik, perabot rumah tangga yg sudah tdk dipakai lagi;ngabetrak ;  ; 
ngabetrak ; kena sinar matahari pada waktu panas terik, perabot rumah tangga yg sudah tdk dipakai lagi;betrak ;  ; 
betrik; menjepret;ngabetrik ;  ; 
ngabetrik ; menjepret;betrik ;  ; 
betus ; meletus, keluar, bocor;bijil ;  ; 
beubeung ; usai, tanda permainan usai; ;  ; 
beubeur ; setagen, angkin ikat pnggang dr kain, kulit, dsb;bebengkung ; bengeh ; bared
beubeureuh ; pacar, tunangan (laki-laki);bebene ;  ; 
beubeut; membantingkan dgn sekuat tenaga dgn maksud agar rusak;ngabeubeutkeun ;  ; 
ngabeubeutkeun; membantingkan dgn sekuat tenaga dgn maksud agar rusak;beubeut ;  ; 
beueus ; bengkak spt mengandung air (pd kaki dan muka); ;  ; 
beueuy ; agak lembek; ;  ; 
beuheung ; leher;tengek ;  ; 
beukah ; mekar, merekah, membesar akibat direndam, dikukus, dibakar, dsb;bengeh ; bared ; barera
beuki ; makin, bertambah, suka, senang;mingkin ; osok ; sok
beulah ; belah, pecah menjadi dua bagian at lebih,;bencah ;  ; 
beuleugeunjeur; badan melulu;seubeuleu ;  ; 
seubeuleu ; badan melulu;beuleugeunjeur ;  ; 
beuleum ; bakar;duruk ; beukah ; ngaduruk
beuli ; beli, meuli, membeli;peser ; galeuh ; meser
beulit ; belit, lilit, meulit, membelit, melilit, meulitkeun, membelitkan, pabeulit, kusut, beultan, lilitan;busik ; pajurawet ; 
beunang ; dapat, boleh, bisa, tertangkap, hasil jerih payah;begug ; berek ; kenging
beunceuh ; jangkrik kecil;bewok ;  ; 
beuneur ; berisi, sangat berisi;eusi ;  ; 
beungeut ; muka, wajah;astra ; bengok ; pameunteu
beungeuteai ; permukaan air; ;  ; 
beunghar ; kaya, makmur;jegud ; mukti ; 
beungkeut ; ikat;cangcang ; cangreud ; nyangcang
beunta ; melek, terbuka matanya, ada kemajuan;boncorot ;  ; 
beunteur ; ikan kecil yg terdapat disungai at disawah; ;  ; 
beunyeur ; menir, bubuk beras, bisul - bisul kecil bermata seperti menir; ;  ; 
beurang ; siang, terlalu siang;siang ;  ; 
beurat ; berat, sukar dilaksanakannya, sangat, membahayakan, sedih;abot ; cacap ; pisan
beureum ; merah;seren ;  ; 
beureuy; tersangkut duri ikan at tulang pd tenggiorokan;kabeureuyan ;  ; 
kabeureuyan ; tersangkut duri ikan at tulang pd tenggiorokan;beureuy ;  ; 
beurit ; tikus; ;  ; 
beusi ; besi; ;  ; 
beuteung ; perut;padaharan ; patuangan ; dahar
beuweung; mengunyah;meuweung ; nyapek ; 
meuweung ; mengunyah;beuweung ; nyapek ; 
bewara ; pengumuman at pemberitahuan; ;  ; 
bewok ; jangkrik kecil, cambang, godek, bewokan, berkumis, bercambang dan berjeggot;beunceuh ; kumis ; rumbah
bewos ; bewok; ;  ; 
beyetek ; lembek sekali; ;  ; 
beyetuk ; kotor oleh debu;buyeng ;  ; 
bia; semau-maunya;sabia-bia ;  ; 
sabia-bia ; semau-maunya;bia ;  ; 
biang ; ibu;ambu ; ibu ; indung
biantar ; pidato;biantara ;  ; 
biantara ; pidato;biantar ;  ; 
bias; tersesat di laut, lain sampai ke tempat lain;katambias ;  ; 
katambias ; tersesat di laut, lain sampai ke tempat lain;bias ;  ; 
bibilas ; buah-buahan at makanan manis yg dimakan setelah selesai makan (cuci mulut), makanan ringan setelah nasi; ;  ; 
bibilintik ; usaha sedikit-sedikit dgn tekun; ;  ; 
bibira; menakuut-nakuti, menghalang-halangi;ngabibira ;  ; 
ngabibira ; menakuut-nakuti, menghalang-halangi;bibira ;  ; 
bibis ; menciprati nasi yg sedang ditanak dng air agar tidak terlalu keras; ;  ; 
bibliotik ; perpustakaan; ;  ; 
bieu ; baru saja, belum lama;nembe ;  ; 
bigal ; blasteran keledai dng kuda; ;  ; 
bigbrig ; ngabrigbrig lari tidak begitu kencang; ;  ; 
bigeug; tidak dapat bicara karna malu atau takut;ngabigeug ;  ; 
ngabigeug ; tidak dapat bicara karna malu atau takut;bigeug ;  ; 
bihari; dahulu kala;bihara- bihari ;  ; 
bihara- bihari ; dahulu kala;bihari ;  ; 
bihbul ; n sj kayu gunung; ;  ; 
biji katapang ; sb kue kering dr tepung terigu, bentuknya spt biji ketapang; ;  ; 
bijil ; keluar;betus ;  ; 
bikang ; perempuan, betina;awewe ;  ; 
bikeun; memberikan;mikeun ; parin ; 
mikeun ; memberikan;bikeun ; parin ; 
biko ; bodoh;bodo ; boloho ; belegug
bilang; menghitung;milang ; etang ; etangan
milang ; menghitung;bilang ; etang ; etangan
bilatung ; belatung, anak kucing; ;  ; 
bilih ; kalau-kalau, barangkali;bisi ; boa ; boa-boa
bilik ; bilik, anyaman dr bilah bambu untuk dinding; ;  ; 
bilik caboi ; dinding pendek kira-kira setengah tinggi badan; ;  ; 
bilintik ; bibilintik;birintik ; bibirintik ; 
biluk ; belok;mengkol ; pengkol ; 
bilulungan; tolong-menolong;sabilulungan ;  ; 
sabilulungan ; tolong-menolong;bilulungan ;  ; 
bina ; bimbing; ;  ; 
binang; tumbak merah;tumbak binang ;  ; 
tumbak binang ; tumbak merah;binang ;  ; 
binangkit ; kreatip;motekar ;  ; 
binarung ; dibarengi; ;  ; 
bincang; diikat ke kiri ke kanan dg dua tali agar lebih kuat;dibincang ;  ; 
dibincang ; diikat ke kiri ke kanan dg dua tali agar lebih kuat;bincang ;  ; 
bincurang ; tulang kering pada betis; ;  ; 
